bm,duration_ms,is_sat,timeout
benchmarks/cnf_samples/aim-50-1_6-yes1-4.cnf,0.03,SAT,
benchmarks/cnf_samples/aim-100-1_6-no-1.cnf,0.04,UNSAT,
benchmarks/flat30-60/flat30-1.cnf,0.01,SAT,
benchmarks/flat30-60/flat30-2.cnf,0.01,SAT,
benchmarks/flat30-60/flat30-3.cnf,0.01,SAT,
benchmarks/flat30-60/flat30-4.cnf,0.01,SAT,
benchmarks/flat50-115/flat50-1.cnf,0.01,SAT,
benchmarks/flat50-115/flat50-2.cnf,0.01,SAT,
benchmarks/flat50-115/flat50-3.cnf,0.01,SAT,
benchmarks/flat50-115/flat50-4.cnf,0.01,SAT,
benchmarks/flat50-115/flat50-5.cnf,0.01,SAT,
benchmarks/flat50-115/flat50-6.cnf,0.01,SAT,
benchmarks/flat50-115/flat50-7.cnf,0.01,SAT,
benchmarks/flat50-115/flat50-8.cnf,0.01,SAT,
benchmarks/pigeon-hole/hole6.cnf,4.55,UNSAT,
