bm,duration_ms,is_sat,timeout
benchmarks/cnf_samples/aim-50-1_6-yes1-4.cnf,1987.0,SAT,False
benchmarks/cnf_samples/aim-100-1_6-no-1.cnf,25000,False,True
benchmarks/flat30-60/flat30-1.cnf,45.0,SAT,False
benchmarks/flat30-60/flat30-2.cnf,60.0,SAT,False
benchmarks/flat30-60/flat30-3.cnf,28.0,SAT,False
benchmarks/flat30-60/flat30-4.cnf,38.0,SAT,False
benchmarks/flat50-115/flat50-1.cnf,166.0,SAT,False
benchmarks/flat50-115/flat50-2.cnf,25000,False,True
benchmarks/flat50-115/flat50-3.cnf,25000,False,True
benchmarks/flat50-115/flat50-4.cnf,25000,False,True
benchmarks/flat50-115/flat50-5.cnf,6978.0,SAT,False
benchmarks/flat50-115/flat50-6.cnf,25000,False,True
benchmarks/flat50-115/flat50-7.cnf,25000,False,True
benchmarks/flat50-115/flat50-8.cnf,25000,False,True
benchmarks/pigeon-hole/hole6.cnf,25000,False,True
